Name,None,Single Female,Single Male,Couple,Group,Day,Night
artzoo,4,3,1,1,4,3,10
artbox,2,3,1,0,0,3,3 
ataraxia,1,0,0,0,0,0,1 
colourful garden of lights,17,3,1,2,1,0,24                           
dande-lier,11,5,1,2,2,4,17 
eco.me,2,0,0,0,0,1,1                               
forever young!,5,0,0,1,0,6 
gastrobeats,58,41,17,23,22,15,146 
home,34,10,8,6,6,0,64 
horizontal interference,69,49,38,22,15,4,189         
HYBYCOZO,31,12,2,3,2,0,50 
i light you so much,1,3,0,1,0,0,5                     
kaldeioscope monolith,1,0,0,0,1,0,2 
moonflower,59,12,5,7,3,1,85                                         
northern lights,17,0,0,0,0,0,17                               
ocean pavilion,26,18,8,1,4,1,56                  
passage of inner reflection,26,18,8,1,4,1,56  
secret galaxies,6,2,0,0,0,1,7                            
silent disco asia,2,1,0,0,6,0,9 
social sparkles,5,1,0,0,0,0,6                              
the body of sea,7,0,0,0,0,0,7                                   
the urchin,8,7,3,3,3,1,23 
ultra light network,32,18,18,5,6,4,75                               
uncle ringo,17,21,7,9,6,4,56 
very glowing exhibition - very wishing river,4,0,0,0,0,0,4 
waterfront bazaar,1,0,0,0,0,0,1                                     
waves,0,0,0,4,0,0,4 
you lookin' at me?,1,0,0,0,0,0,1  
  